sample_id,group,combination,prediction_png,prediction_sha256,target_png,target_sha256,psnr,ssim,lpips,maniqa,clipiqa,musiq
test/A/rain + haze/003,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/003.png,ff06ae3c228b2c7b1053eec992ec5a0e7fc0542a71b5600cfff5a257050e368b,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/003.png,c2a2513992db412a7160dfa2f82535dccaa188db91df80ee6ed5b0dd5c5d2d1a,24.674776077270508,0.8956598498094306,0.10129641741514206,0.40277883410453796,0.7613223195075989,73.04655456542969
test/A/rain + haze/004,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/004.png,a660a86f3438ed0624c6fbb78fcbae773a097fe1da1ee6610120206c1b1d89e7,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/004.png,f1ad3f60cd8e680739263535ab1620a2490f3bc0c65a9355a965c7dff9be1fed,25.80024528503418,0.9135169485384296,0.12292241305112839,0.4581761956214905,0.6985868215560913,73.75032806396484
test/A/rain + haze/005,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/005.png,9fc6c3d4f7a20d9ced3d844f1bae69f5b3f021e395f9bea0470b76c5b1b0cef1,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/005.png,1d8eb1ef9c1817c087956135efa85be686e7169ef11eb532c768d32d7267a0ff,26.55173110961914,0.9103292665417637,0.046258777379989624,0.34469908475875854,0.7762096524238586,70.95633697509766
test/A/rain + haze/006,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/006.png,43d8290351fa785da1a913e1126ac52662ebd8bccc70f6beac99678e8377175c,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/006.png,f62feddd2f379d039dd1effe18b6368c79a6fe31fb8177f797c9f230eb8e1211,13.649558067321777,0.8229765876944857,0.1715061366558075,0.3503788411617279,0.6128048300743103,62.46773910522461
test/A/rain + haze/007,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/007.png,9c6248779cfe3a18b3d184aa9ba8bb4aa0a37ef5cf257bf57f554d5288fbb5d2,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/007.png,b876f087d5f42a9350f28383ff2df22156b6bbba702809d134b7713d9430881c,16.616371154785156,0.9382251582852927,0.09025698900222778,0.5951753854751587,0.8184804916381836,74.8507080078125
test/A/rain + haze/008,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/008.png,9aa90d4b77ab5dfe790ccb32ab79e6704aa1a8ab9e3050fd996ce6f1fb545971,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/008.png,4efb8dbbd2ba5090b7b951a456ec5ed27a5d61360ab95cb1c5a9366f2868cb94,25.59067726135254,0.9286963137051509,0.06452929228544235,0.39062291383743286,0.7191329002380371,74.55066680908203
test/A/rain + haze/009,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/009.png,e465d97651a573d17897f15eedac879c7241a92e8b55a4cf75a8c22dc9f8c7ef,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/009.png,5b779ac0fbe5d1e4d4126fd2864493dcc2ecdbde374ede7e29a054b2a9cb4f21,20.78598403930664,0.912408426423892,0.1783275604248047,0.2074396312236786,0.31599536538124084,54.764366149902344
test/A/rain + haze/010,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/010.png,f779be3ec1409c55f7076ef8a624fdd2c90e341a61cd3b1b5daee47e87f340d7,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/010.png,327492996d853f5c8873b435f98a91afd07db64567545baa61c9f4f64f717a0d,26.200496673583984,0.9355673457534776,0.14393043518066406,0.4421309232711792,0.7617312669754028,76.91355895996094
test/A/rain + haze/013,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/013.png,0b3f891a67ad57e28c2d873b5f7437374d277fca7922e1354d2278ea6789fe12,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/013.png,afe18305499bd0b8318392e8f34ede33aafb5a0df2371075fe9f30a1c81a75eb,22.441530227661133,0.8399501066716009,0.11586637794971466,0.5182397961616516,0.6209461092948914,73.5295639038086
test/A/rain + haze/014,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/014.png,25d888686a030843031c0f32e0a4c68d19f25e9e4a4c2a967d44e5c0f26d9bd1,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/014.png,2d569d9b923a96b1542c0b845dce0c7657794eba9f6f22ae5d02f335ef1bc4a0,30.00338363647461,0.9040495636437222,0.06789159774780273,0.4071694314479828,0.6764702796936035,70.79985046386719
