step,single_psnr,single_ssim,group_a_psnr,group_a_ssim,planner_macro_f1,relation_accuracy,parallel_precision,parallel_recall,pre_cycle_rate,dropped_edge_rate,guard_spearman_rain,guard_spearman_haze,guard_mae_rain,guard_mae_haze,guard_std_rain,guard_std_haze,guard_high_frac_rain,guard_high_frac_haze,clean_misuse_psnr,clean_misuse_ssim,clean_misuse_residual_norm,wrong_skill_identity_psnr,wrong_skill_identity_ssim,wrong_skill_residual_norm,reentry_request_rate,unexpected_skill_activation_rate,mean_program_levels
4000,26.1464793694,0.826003533971,20.4809440994,0.660100677586,,,,,,,,,,,,,,,,,,,,,,,
8000,26.4606376386,0.838224656751,21.3927391911,0.687968825474,,,,,,,,,,,,,,,,,,,,,,,
12000,26.7962580824,0.845730630791,22.1708072197,0.708722149373,,,,,,,,,,,,,,,,,,,,,,,
16000,27.0459342968,0.850795245288,22.9001644909,0.728101111395,,,,,,,,,,,,,,,,,,,,,,,
20000,27.2506444192,0.854941498803,23.4662212682,0.743927715605,,,,,,,,,,,,,,,,,,,,,,,
24000,27.4254196262,0.858683971226,23.8896652555,0.755878435823,,,,,,,,,,,,,,,,,,,,,,,
28000,27.587645973,0.86260437388,24.2106245899,0.765104213557,,,,,,,,,,,,,,,,,,,,,,,
32000,27.7342155004,0.866512772126,24.4431806767,0.772083992263,,,,,,,,,,,,,,,,,,,,,,,
36000,27.8437229085,0.869481678171,24.5939226604,0.776862070084,,,,,,,,,,,,,,,,,,,,,,,
40000,27.9586054242,0.871841084973,24.674242177,0.780043834421,,,,,,,,,,,,,,,,,,,,,,,
44000,28.0418478096,0.873411392284,24.7245536053,0.782183207955,,,,,,,,,,,,,,,,,,,,,,,
48000,28.1208996296,0.874603012841,24.7605605412,0.783705480304,,,,,,,,,,,,,,,,,,,,,,,
52000,28.190849849,0.875578469437,24.7905910957,0.784786101934,,,,,,,,,,,,,,,,,,,,,,,
56000,28.2246385992,0.876218706017,24.8042141533,0.78543232592,,,,,,,,,,,,,,,,,,,,,,,
60000,28.2524459159,0.876724862237,24.8097213721,0.785909488575,,,,,,,,,,,,,,,,,,,,,,,
3000,24.6090688694,0.810851833427,23.2287887084,0.738120948591,,,,,,,,,,,,,,,,,,,,,,,
6000,24.9978130662,0.815578579271,23.6259719694,0.742889888678,,,,,,,,,,,,,,,,,,,,,,,
9000,25.6288184464,0.822517110893,24.0236432207,0.748431552401,,,,,,,,,,,,,,,,,,,,,,,
12000,26.3606320119,0.827581284652,24.2312748337,0.748223122877,,,,,,,,,,,,,,,,,,,,,,,
15000,27.0956293225,0.83455891894,24.3823842895,0.74697176267,,,,,,,,,,,,,,,,,,,,,,,
18000,27.6756946564,0.842963200182,24.6069645643,0.749668759021,,,,,,,,,,,,,,,,,,,,,,,
21000,28.1275733161,0.850931553291,24.8622148895,0.755993499852,,,,,,,,,,,,,,,,,,,,,,,
24000,28.4868344307,0.857746392047,25.1027975643,0.762886000633,,,,,,,,,,,,,,,,,,,,,,,
27000,28.7693559146,0.863003308416,25.3112221587,0.768583519701,,,,,,,,,,,,,,,,,,,,,,,
30000,28.9855093932,0.866921304831,25.4706350267,0.772928579242,,,,,,,,,,,,,,,,,,,,,,,
2000,22.031629347801207,0.7520264426826081,19.976883326768874,0.6223853897590591,0.16769682495020566,0.6231292517006802,0.7425531914893617,0.7331932773109243,0.0,0.0,-0.022889983081179177,-0.049727317795222575,0.38181895593802134,0.22587419147292773,0.01702147865667939,0.016292983886475366,0.0,0.0,,,,,,,0.007207338380896914,0.0005096097845078626,1.073125
4000,22.740643159151077,0.74735104995189,20.15928292751312,0.6216117958395221,0.2416446996549132,0.6231292517006802,0.7425531914893617,0.7331932773109243,0.0,0.0,-0.0030389405366779794,0.26563736987709663,0.2817217772702376,0.18811830790092549,0.020476907910779118,0.02129703323977689,0.0,0.0,,,,,,,7.807620237351655e-05,0.0,1.000625
6000,23.698687714338302,0.7840943608323613,21.000617122650148,0.6582825545638894,0.47753671120726826,0.6217687074829932,0.7344398340248963,0.7436974789915967,0.0,0.0,0.19474066712968272,0.4102435273904458,0.20163779333233833,0.15625702199836572,0.020928648365661502,0.029148904910931986,0.0,0.0,,,,,,,0.007754164273406089,0.0,1.088125
8000,24.36206513762474,0.806058855734595,21.480072226524353,0.681833681902136,0.6982737940142573,0.6244897959183674,0.7390396659707724,0.7436974789915967,0.0,0.0,0.38407521279574147,0.48634201205568567,0.14362566500902177,0.13449900042265653,0.02335740946854154,0.034426444477091235,0.0,0.0,,,,,,,0.01155115511551155,0.0,1.13625
10000,25.015275822877882,0.8219364021474074,21.857129329442976,0.702371643955966,0.8046274367660332,0.6244897959183674,0.7430997876857749,0.7352941176470589,0.0,0.0,0.48587522869565325,0.5260641186449936,0.10499632336199284,0.12142820287495852,0.027994676772505046,0.036615444868803027,0.0,0.0,,,,,,,0.012327677624602334,6.62778366914104e-05,1.17875
12000,25.405095913410186,0.8309895028086407,22.027225449085236,0.7118815276710013,0.8454899763976607,0.6231292517006802,0.7425531914893617,0.7331932773109243,0.0,0.0,0.5344729256675067,0.5503512939512155,0.08042263679206371,0.1132151785120368,0.032155154201512534,0.03781731561447183,0.0,0.0,,,,,,,0.011175053533190578,0.0,1.1675
