id,kind,reference_psnr,fast_psnr,psnr_abs_diff,reference_ssim,fast_ssim,ssim_abs_diff,canonical_float_exact,canonical_uint8_exact
full_00,full_size,78.72938537597656,78.72938537597656,0.0,0.9999997319396836,0.9999997319396835,1.1102230246251565e-16,,
native_00,native_x4_mismatch,26.910030364990234,26.910030364990234,0.0,0.8206994051973633,0.8206997430818459,3.3788448261518056e-07,True,True
full_01,full_size,76.2477798461914,76.2477798461914,0.0,0.9999932979623499,0.9999932979533407,9.00923780022822e-12,,
native_01,native_x4_mismatch,26.922447204589844,26.922447204589844,0.0,0.7590415236940992,0.759041500782436,2.2911663122293646e-08,True,True
full_02,full_size,73.90370178222656,73.90370178222656,0.0,0.9999961213269047,0.9999961213269047,0.0,,
native_02,native_x4_mismatch,24.63882064819336,24.63882064819336,0.0,0.7106863391130143,0.7106862378051627,1.0130785155215705e-07,True,True
full_03,full_size,71.88069915771484,71.88069915771484,0.0,0.9999959607950824,0.9999959552136427,5.581439643798092e-09,,
native_03,native_x4_mismatch,42.17341995239258,42.17341995239258,0.0,0.9686967152287246,0.9686963273207112,3.8790801337729164e-07,True,True
full_04,full_size,70.18321228027344,70.18321228027344,0.0,0.9999502725756977,0.9999502726188668,4.316913493340735e-11,,
native_04,native_x4_mismatch,25.288375854492188,25.288375854492188,0.0,0.7198738173841439,0.7198742035505868,3.8616644293387736e-07,True,True
full_05,full_size,78.71448516845703,78.71448516845703,0.0,0.9999996738982778,0.9999996738982778,0.0,,
native_05,native_x4_mismatch,19.75887107849121,19.75887107849121,0.0,0.5694889594535704,0.5694889786900164,1.9236445991666073e-08,True,True
full_06,full_size,76.23898315429688,76.23898315429688,0.0,0.9999991027022941,0.9999991027025068,2.1271873151818e-13,,
native_06,native_x4_mismatch,22.225696563720703,22.225696563720703,0.0,0.5701587493421256,0.5701588013902014,5.2048075738220234e-08,True,True
full_07,full_size,73.88756561279297,73.88756561279297,0.0,0.9999760389296533,0.9999760334790274,5.450625839564793e-09,,
native_07,native_x4_mismatch,26.654132843017578,26.654132843017578,0.0,0.8343906929413967,0.8343903818719501,3.1106944653469526e-07,True,True
full_08,full_size,71.89085388183594,71.89085388183594,0.0,0.9999953328675943,0.999995332871252,3.657629754627578e-12,,
full_09,full_size,70.27942657470703,70.27942657470703,0.0,0.9999985680681912,0.9999985681204092,5.221800769561469e-11,,
full_10,full_size,78.76332092285156,78.76332092285156,0.0,0.9999940603933022,0.9999940603926257,6.764588889041079e-13,,
full_11,full_size,76.3305892944336,76.3305892944336,0.0,0.9999964289670791,0.9999964262325143,2.7345647968246567e-09,,
full_12,full_size,73.88756561279297,73.88756561279297,0.0,0.9999978226161754,0.9999978256036784,2.98750302274442e-09,,
full_13,full_size,71.88566589355469,71.88566589355469,0.0,0.9999554245581755,0.9999554244628821,9.529343980574367e-11,,
full_14,full_size,70.23039245605469,70.23039245605469,0.0,0.9999934214927341,0.9999934214920047,7.294165271787278e-13,,
full_15,full_size,78.730712890625,78.730712890625,0.0,0.9999998237007445,0.9999998237006971,4.7406523151494184e-14,,
