split,scope,pair_id,n_total,n_ambiguous,n_nonambiguous,ambiguous_fraction,parallel_fraction_nonambiguous,majority_label,majority_label_share,serial_gap_psnr_mean,serial_gap_psnr_median,serial_gap_psnr_p25,serial_gap_psnr_p75,serial_gap_psnr_p90,serial_gap_psnr_max,serial_gap_psnr_fraction_gte_0_02,serial_gap_psnr_fraction_gte_0_05,serial_gap_psnr_fraction_gte_0_10,label_counts_nonambiguous,train_majority_label,val_majority_label,train_val_majority_consistent
train,overall,__overall__,4096,493,3603,0.120361328125,0.5578684429641965,parallel,0.5578684429641965,1.3077101251110435,0.2514934539794922,0.011447429656982422,1.268620491027832,4.033748626708984,27.1179141998291,0.7216796875,0.6650390625,0.60595703125,"{""i_before_j"":778,""j_before_i"":815,""parallel"":2010}",,,
train,pair,defocus_blur+haze,512,38,474,0.07421875,0.5632911392405063,parallel,0.5632911392405063,1.2718924283981323,0.4408149719238281,0.0,1.9671854972839355,3.5071472167968754,12.893701553344727,0.630859375,0.619140625,0.603515625,"{""i_before_j"":126,""j_before_i"":81,""parallel"":267}",parallel,parallel,True
train,pair,defocus_blur+jpeg_artifact,512,33,479,0.064453125,0.7118997912317327,parallel,0.7118997912317327,0.1823113765567541,0.04488182067871094,0.0,0.1554551124572754,0.3709579467773438,15.138957977294922,0.583984375,0.47265625,0.35546875,"{""i_before_j"":103,""j_before_i"":35,""parallel"":341}",parallel,parallel,True
train,pair,motion_blur+low_light,512,236,276,0.4609375,0.42391304347826086,j_before_i,0.4528985507246377,0.2293202057480812,0.011698722839355469,0.0,0.10548973083496094,0.5205543518066408,8.511402130126953,0.44921875,0.341796875,0.25390625,"{""i_before_j"":34,""j_before_i"":125,""parallel"":117}",j_before_i,parallel,False
train,pair,motion_blur+low_resolution,512,167,345,0.326171875,0.9130434782608695,parallel,0.9130434782608695,0.02074674889445305,0.0036678314208984375,0.0,0.014723777770996094,0.04665718078613282,2.3835792541503906,0.216796875,0.09375,0.025390625,"{""i_before_j"":13,""j_before_i"":17,""parallel"":315}",parallel,parallel,True
train,pair,noise+jpeg_artifact,512,13,499,0.025390625,0.44288577154308617,parallel,0.44288577154308617,1.6511699259281158,0.7909784317016602,0.23637723922729492,2.2725319862365723,4.646816825866699,12.334609985351562,0.958984375,0.919921875,0.8515625,"{""i_before_j"":213,""j_before_i"":65,""parallel"":221}",parallel,parallel,True
train,pair,noise+low_light,512,6,506,0.01171875,0.23715415019762845,j_before_i,0.549407114624506,2.0120070911943913,0.8937263488769531,0.3192105293273926,2.2839441299438477,4.927674102783208,27.1179141998291,0.970703125,0.94921875,0.900390625,"{""i_before_j"":108,""j_before_i"":278,""parallel"":120}",j_before_i,j_before_i,True
train,pair,rain+haze,512,0,512,0.0,0.5390625,parallel,0.5390625,4.444783918559551,3.219541549682617,1.1918611526489258,6.585262775421143,9.695413208007816,24.148834228515625,0.98828125,0.982421875,0.974609375,"{""i_before_j"":22,""j_before_i"":214,""parallel"":276}",parallel,parallel,True
train,pair,rain+low_resolution,512,0,512,0.0,0.689453125,parallel,0.689453125,0.6494493056088686,0.3601055145263672,0.18016910552978516,0.6480474472045898,1.086860466003418,21.82781410217285,0.974609375,0.94140625,0.8828125,"{""i_before_j"":159,""j_before_i"":0,""parallel"":353}",parallel,parallel,True
val,overall,__overall__,800,65,735,0.08125,0.6476190476190476,parallel,0.6476190476190476,0.9666487538814544,0.19983482360839844,0.014346122741699219,1.1096587181091309,2.7836120605468757,16.748188972473145,0.73125,0.6625,0.595,"{""i_before_j"":113,""j_before_i"":146,""parallel"":476}",,,
