step,single_psnr,single_ssim,group_a_psnr,group_a_ssim,planner_macro_f1,relation_accuracy,parallel_precision,parallel_recall,pre_cycle_rate,dropped_edge_rate,guard_spearman_rain,guard_spearman_haze,guard_mae_rain,guard_mae_haze,guard_std_rain,guard_std_haze,guard_high_frac_rain,guard_high_frac_haze,clean_misuse_psnr,clean_misuse_ssim,clean_misuse_residual_norm,wrong_skill_identity_psnr,wrong_skill_identity_ssim,wrong_skill_residual_norm,reentry_request_rate,unexpected_skill_activation_rate,mean_program_levels
4000,25.723619660139082,0.8427595733035973,22.798154611587524,0.7449925724863631,0.9085288994998512,0.6612244897959184,0.7152899824253075,0.8550420168067226,0.0,0.0,0.561597886217588,0.585984263348297,0.07085611979166667,0.10845296223958334,0.031029459635416666,0.035518798828125,0.0,0.0,48.10359311103821,0.993727944465464,0.016229114015004598,42.393818378448486,0.981961767663105,0.021265603332722094,0.004635416666666667,0.0,1.110625
8000,25.92546496748924,0.8505602584466208,23.273197375535965,0.7573749046261407,0.9125085750305016,0.6612244897959184,0.7152899824253075,0.8550420168067226,0.0,0.0,0.5905601784037838,0.6235577741522657,0.07015218098958333,0.107216796875,0.030467325846354167,0.03220072428385417,0.0,0.0,60.32911920547485,0.995529555975413,0.013109023560900823,48.31000566482544,0.9907950709023202,0.016569040257309098,0.00578125,0.0,1.138125
12000,26.12771237015724,0.8569444272253395,23.682918739318847,0.7665469668258628,0.9104268550993317,0.6612244897959184,0.7152899824253075,0.8550420168067226,0.0,0.0,0.6108160879397445,0.6459081987558661,0.07083089192708333,0.10867594401041666,0.0297686767578125,0.028719278971354168,0.0,0.0,63.11815428733826,0.9962453204228195,0.012132887470215792,50.79806327819824,0.9939625898844329,0.014652981514700514,0.006302083333333333,2.604166666666667e-05,1.163125
16000,26.440251644849777,0.8616864926840335,23.996857199668884,0.7725469317530375,0.9097716748479776,0.6612244897959184,0.7152899824253075,0.8550420168067226,0.0,0.0,0.6222821136964534,0.6601628481031352,0.07187418619791666,0.10990152994791667,0.029626261393229165,0.026443888346354166,0.0,0.0,66.32769536972046,0.9971642647175055,0.010144308964981974,52.84805464744568,0.995697087097726,0.012605125178652088,0.006666666666666667,2.604166666666667e-05,1.1875
20000,26.60116090416908,0.8646311913529511,24.24204863548279,0.7765611721085331,0.9100343614729898,0.6612244897959184,0.7152899824253075,0.8550420168067226,0.0,0.0,0.6282025538229121,0.6636587777543995,0.07111328125,0.11114827473958333,0.028952229817708335,0.0249249267578125,0.0,0.0,69.01331520080566,0.9974258593816397,0.009178681633102315,54.09161710739136,0.9966602874176386,0.01115224770023815,0.00625,7.8125e-05,1.2025
24000,26.760687341690062,0.8666813509309782,24.37871617794037,0.7786287073033437,0.9099705067386183,0.6571428571428571,0.7150442477876107,0.8487394957983193,0.0,0.0,0.6282313027122072,0.6564432637185132,0.07085693359375,0.11185628255208334,0.0282708740234375,0.023454386393229165,0.0,0.0,70.78786134719849,0.9976307689004176,0.008550557690909955,55.725505113601685,0.9975899077197803,0.009026528948197665,0.005833333333333334,7.8125e-05,1.209375
28000,26.870761181116105,0.8676023387355724,24.465956335067748,0.779567025897588,0.9119438430188807,0.6612244897959184,0.7188612099644128,0.8487394957983193,0.0,0.0,0.630084800853906,0.6498165119463597,0.07183349609375,0.1130859375,0.027934366861979167,0.022233683268229165,0.0,0.0,71.69016361236572,0.9979289250137544,0.007707180277463976,57.50196313858032,0.9983688077623096,0.006392491030908332,0.006015625,0.00010416666666666667,1.21875
32000,26.92031177997589,0.8682123675265447,24.51011754155159,0.7801978668584254,0.9106000587430525,0.6585034013605442,0.7178571428571429,0.8445378151260504,0.0,0.0,0.6336230521206303,0.6395487991849008,0.072568359375,0.11343831380208333,0.027701212565104168,0.021212361653645834,0.0,0.0,72.14577770233154,0.9983363990542218,0.006531520500743682,59.406089305877686,0.9990529609912554,0.0036084923077055464,0.0060416666666666665,7.8125e-05,1.226875
36000,26.961795566082,0.868176974148588,24.546487362384795,0.7806637020194483,0.910650710099072,0.6585034013605442,0.7204301075268817,0.8445378151260504,0.0,0.0,0.6354445044955596,0.628345319503928,0.07295979817708333,0.11375406901041667,0.0272747802734375,0.0202178955078125,0.0,0.0,72.43673944473267,0.9985074698815849,0.005967663083140451,60.78787183761597,0.999224258316975,0.002682218323144525,0.006510416666666667,7.8125e-05,1.23375
40000,27.020805177688597,0.8685765341305163,24.546857466697695,0.7808854509814307,0.9121768357098222,0.6625850340136055,0.726775956284153,0.8382352941176471,0.0,0.0,0.6364054862008692,0.6197974340395531,0.07283528645833333,0.11423014322916666,0.026988525390625,0.019610392252604168,0.0,0.0,72.71375131607056,0.9987804524885551,0.005106305903325392,61.90638446807861,0.9994035983440996,0.0021046229404362293,0.006380208333333333,5.208333333333334e-05,1.235625
